#Renewable energy share in the total final energy consumption (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2010,0.12,No Data,5.46,1.65,No Data,9.08,32.93,0.43,0.71,21.22,0.01,66.39,No Data,15.61,0.48,10.28,16.91,26.49,10.53,87.81,30.29,78.99,8.98,48.38,0.97,1.36,13.31,12.77,3.33,No Data,0.03,26.7,No Data,55.25,13.22,41.28,43.76,0.71,0.47,No Data,45.07,5.13,22.1,34.82,No Data,1.01,0.38,0.34,0.26,38.4
2011,0.13,0.08,5.66,1.42,No Data,4.66,44.36,0.42,0.89,20.78,0.02,69.35,No Data,19.2,0.47,13.8,16.75,31.15,11.27,87.87,32.57,79.01,9.84,48.85,0.92,1.34,12.06,12.01,3,No Data,0.05,24.99,No Data,54.73,12.93,40.26,43.12,0.85,0.48,No Data,43.61,6.09,21.16,32.84,No Data,1.14,0.38,0.37,0.26,35.99
2012,0.13,0.15,6.86,1.18,No Data,4.21,50.07,0.44,0.91,24.26,0.01,67.85,No Data,19.38,0.71,11.33,16.48,31.73,11.38,87.81,28.41,82.19,12.16,47.08,1.31,1.2,12.03,11.45,3.025,No Data,0.07,24.2,No Data,55.45,12.39,40.26,38.89,0.78,0.51,0.05,43.82,5.02,15.77,25.61,No Data,1.15,0.37,0.37,0.31,39.28
2013,0.14,0.15,6.89,0.96,No Data,3.51,40.99,1.47,0.97,25.94,0.01,62.51,0.24,18.24,1.39,11.57,16.55,32.81,10.92,87.71,26.27,80.39,11.39,44.53,1.38,1.26,12.08,11.39,3.095,No Data,0.06,23.61,No Data,58.27,12.1,42.61,39.36,1.48,0.56,0.05,41.83,5.37,17.63,22.57,No Data,1.58,0.36,0.37,0.83,41.26
2014,0.35,0.14,6.93,1.14,No Data,3.44,37.47,0.43,1,26.11,0.01,66.02,0.54,23.16,1.66,9.97,17.28,33.17,11.26,87.28,24.02,77.77,11.88,46.41,1.63,1.2,11.75,10.59,3.115,No Data,0.05,23.14,0.02,56.82,11.72,41.24,39.63,1.37,0.59,0.05,45.89,3.32,12.85,18.08,No Data,1.7,0.35,0.36,0.8,31.74
2015,0.3,0.48,6.73,1.54,No Data,3.16,30.34,0.55,1,26.35,0.01,64.17,1.4,21.15,1.6,8.8,14.88,32.74,11.07,87.15,24.95,76.12,12.12,45.73,1.63,1.38,11.32,11.49,3.295,No Data,0.1,22.37,0.04,55.15,11.52,37.47,40.23,1.36,0.65,0.05,48.64,4.3,11.59,18,No Data,1.94,0.37,0.37,3.88,35.91
2016,0.5,0.6,6.99,1.53,No Data,3.49,33.38,1.09,1.01,24.62,0.01,60.5,1.93,19.2,1.74,10.88,15.31,27.68,11.4,86.73,21.41,76.13,11.07,46.49,1.68,1.21,11.75,10.33,3.695,No Data,0.18,22.07,0.05,54.56,11.17,36.82,39.2,1.22,0.68,0.05,48.7,4.1,11.29,12.67,No Data,2.03,0.43,0.37,9.46,33.4
2017,0.53,0.6,6.7,1.44,No Data,5.13,36.25,0.64,1.23,22.87,0.01,56.42,2.31,22,2.22,9.84,16.87,28.55,11.48,86.8,22.18,76.17,10.98,41.15,1.6,1.25,11.75,9.42,3.48,No Data,0.6,22.36,0.05,54.45,10.22,35.79,38.42,1.25,0.67,0.05,48.98,5.29,14.96,13.21,No Data,1.96,0.42,0.32,8.74,36.13
2018,0.51,0.9,8.02,1.02,No Data,5.79,34.64,0.67,1.26,22.93,0.01,55.01,4.05,24.11,3.02,8.3,15.95,25.8,10.69,86.59,16.81,76.25,8.88,41.03,1.6,1.12,11.72,9.19,3.765,No Data,0.66,23.4,0.3,52.96,10.22,36.63,37.85,1.24,0.73,0.05,48.64,4.93,17.55,12.71,No Data,1.78,0.45,0.44,8.32,29.96
2019,0.49,0.91,7.48,1.14,No Data,4.31,29.09,0.84,1.23,22.19,No Data,53.43,3.69,21.54,2.68,8.05,13.98,26.48,10.37,86.24,11.35,76.4,9.09,41.03,1.58,1.11,11.7,8.94,3.775,0.42,0.61,22.38,0.29,53.09,9.75,34.21,37.09,1.47,0.84,0.05,48.39,5.68,14.4,11.67,No Data,1.77,0.43,0.45,8.2,31.86
